,Final_Score,Day,symbol,dailyReturns
82,0.6647000000000001,2021-10-14,NSE:WIPRO,0.05300327088908709
83,0.5267,2021-10-18,NSE:WIPRO,0.002117896223085069
84,0.2023,2021-10-19,NSE:WIPRO,0.002536104262064043
85,0.8176,2021-09-21,NSE:TITAN,0.00409175151033769
86,0.7003,2021-09-22,NSE:TITAN,-0.0023012201260875554
87,0.128,2021-09-23,NSE:TITAN,0.011532639773191416
88,0.8126,2021-09-24,NSE:TITAN,-0.005771834398232864
89,0.5881,2021-09-27,NSE:TITAN,-0.0012661856753787045
90,0.5589,2021-09-29,NSE:TITAN,0.00854740994693083
91,0.0373,2021-10-05,NSE:TITAN,0.017329374101053174
92,-0.2732,2021-10-07,NSE:TITAN,0.10602286219821656
93,0.6369,2021-10-08,NSE:TITAN,-0.0072199886332540856
94,0.5556,2021-10-11,NSE:TITAN,0.0017810194215928561
95,0.4019,2021-10-12,NSE:TITAN,0.055113443955299615
96,0.4724,2021-10-13,NSE:TITAN,0.017892963170986084
97,0.2965000000000001,2021-10-14,NSE:TITAN,0.01058253192495679
98,0.05500000000000005,2021-10-18,NSE:TITAN,0.009652697880306546
99,0.32780000000000004,2021-10-19,NSE:TITAN,-0.04013442521631647
100,0.34,2021-10-20,NSE:TITAN,-0.029578655076663043
101,0.3818,2021-09-20,NSE:KOTAKBANK,-0.0032371323987151076
102,0.875,2021-09-21,NSE:KOTAKBANK,0.00474655874490994
103,0.8442,2021-09-22,NSE:KOTAKBANK,-0.012630846117506696
104,0.34,2021-09-27,NSE:KOTAKBANK,0.0025886297519846163
105,0.4404,2021-10-04,NSE:KOTAKBANK,-0.0013042060645581546
106,0.4767,2021-10-06,NSE:KOTAKBANK,-0.013418417534744072
107,0.5267,2021-10-13,NSE:KOTAKBANK,0.0071424991228509855
108,0.7717,2021-09-22,NSE:MARUTI,0.00796812749003984
109,0.4019,2021-09-27,NSE:MARUTI,0.0648998525657161
110,0.7351,2021-09-28,NSE:MARUTI,0.0027554721109753623
111,0.9246,2021-09-29,NSE:MARUTI,-0.005361099698943295
112,0.0,2021-10-01,NSE:MARUTI,-0.023950504561838636
113,-0.5559000000000001,2021-10-04,NSE:MARUTI,0.0011169596358711587
114,0.34,2021-10-07,NSE:MARUTI,0.04073340973018023
115,0.6908,2021-10-11,NSE:MARUTI,0.03644683714670258
116,0.14489999999999997,2021-10-12,NSE:MARUTI,-0.000908996467899439
117,0.6705,2021-10-14,NSE:MARUTI,0.00197135849989642
118,-0.25,2021-10-18,NSE:MARUTI,0.021355493604023047
119,-0.1779,2021-09-22,NSE:SBIN,0.0001139471285323869
120,0.3612,2021-09-27,NSE:SBIN,0.013272830402722683
121,-0.4939,2021-09-30,NSE:SBIN,-0.015217391304347827
122,-0.802,2021-10-19,NSE:SBIN,-0.01958027914449242
123,0.22449999999999992,2021-09-23,NSE:BHARTIARTL,6.879944960434059e-05
124,0.296,2021-09-24,NSE:BHARTIARTL,0.017336268574573505
125,0.6231,2021-09-29,NSE:BHARTIARTL,-0.0029447676506499385
126,0.6908,2021-09-30,NSE:BHARTIARTL,-0.00835614464774538
127,0.5574,2021-10-01,NSE:BHARTIARTL,-0.018015400261513843
128,0.296,2021-10-05,NSE:BHARTIARTL,0.026196066921044942
129,0.7096,2021-10-06,NSE:BHARTIARTL,-0.011226313907758346
130,0.296,2021-10-07,NSE:BHARTIARTL,0.0015909748336708459
131,0.34,2021-10-18,NSE:BHARTIARTL,-0.0075823855351413415
132,0.875,2021-09-21,NSE:M_M,0.0005419687013076227
133,0.8442,2021-09-22,NSE:M_M,0.01902633895321275
134,0.6486,2021-09-23,NSE:M_M,0.007906976744186106
135,0.6597,2021-09-24,NSE:M_M,0.02768804799261652
136,0.34,2021-09-27,NSE:M_M,0.040926294181794824
137,-0.3182,2021-09-29,NSE:M_M,0.0075057378574530965
138,-0.2263,2021-09-30,NSE:M_M,-0.011143947789681157
139,-0.21009999999999995,2021-10-04,NSE:M_M,0.01606571238750976
140,0.8658,2021-10-06,NSE:M_M,-0.010616214933870983
141,0.7003,2021-10-11,NSE:M_M,0.020277967646388777
142,0.4019,2021-10-13,NSE:M_M,0.050836984608470956
143,0.5141,2021-10-19,NSE:M_M,0.007190295844996931
144,-0.5719,2021-10-20,NSE:M_M,-0.01978201634877382
145,0.3182,2021-10-08,NSE:BANKBARODA,0.04880952380952374
146,0.25,2021-10-18,NSE:BANKBARODA,0.04845070422535208
